CODE,REGION,PROVINCIA,DISTRITO,NOMBRE DEL RECURSO,CATEGORIA,TIPO_DE_CATEGORIA,SUB_TIPO_CATEGORIA,URL,LATITUD,LONGITUD,REGION_GEOGRAFICA
9991,LIMA,HUAROCHIRI,SURCO,Catarata Palacala,SITIOS NATURALES,CAIDAS DE AGUA,Cataratas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=9991,-76.42593,-11.9111,0
9993,LIMA,HUAROCHIRI,SURCO,Catarata Mortero,SITIOS NATURALES,CAIDAS DE AGUA,Cataratas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=9993,-76.436136,-11.84673,0
9994,LIMA,HUAROCHIRI,SURCO,Iglesia Colonial San Jerónimo De Surco,MANIFESTACIONES CULTURALES,ARQUITECTURA Y ESPACIOS URBANOS,Iglesias,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=9994,-76.44054699999998,-11.884007,0
9996,JUNIN,HUANCAYO,HUASICANCHA,Fiesta De Año Nuevo De Huasicancha,ACONTECIMIENTOS PROGRAMADOS,FIESTAS,Fiestas religiosas-patronales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=9996,,,1
9999,LIMA,LIMA,PACHACAMAC,Iglesia El Santísimo Salvador De Pachacamac,MANIFESTACIONES CULTURALES,ARQUITECTURA Y ESPACIOS URBANOS,Iglesias,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=9999,-76.85880929231644,-12.229372936206092,0
10001,LIMA,LIMA,PACHACAMAC,Mirador Turístico San Miguel,SITIOS NATURALES,ZONAS PAISAJISTICAS,Miradores naturales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=10001,-76.8561378121376,-12.23289733,0
10002,LIMA,LIMA,PACHACAMAC,Fiesta Patronal Del Santísimo Salvador De Pachacámac,ACONTECIMIENTOS PROGRAMADOS,FIESTAS,Fiestas religiosas-patronales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=10002,,,0
10003,LIMA,LIMA,PACHACAMAC,Paseo De Los Incas,MANIFESTACIONES CULTURALES,ARQUITECTURA Y ESPACIOS URBANOS,Paseos peatonales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=10003,-76.85889780521393,-12.229040025461227,0
10005,LIMA,LIMA,PACHACAMAC,Santuario Diocesano María De La Consagración,MANIFESTACIONES CULTURALES,ARQUITECTURA Y ESPACIOS URBANOS,Santuario,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=10005,-76.88383992,-12.221540247912708,0
10007,LIMA,LIMA,PACHACAMAC,Lomas De Quebrada Río Seco - Santuario De Amancay De Unacem Sector Pachacámac  ,SITIOS NATURALES,AREAS PROTEGIDAS,Áreas de conservación privada,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=10007,-76.81277138907876,-12.196347544725024,0
10008,LIMA,LIMA,PACHACAMAC,Fundo Agroecologico Casablanca ,REALIZACIONES TECNICAS CIENTIFICAS Y ARTISTICAS CONTEMPORANEAS,EXPLOTACIONES AGROPECUARIAS Y PESQUERAS,Agricultura,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=10008,-76.86465720962,-12.20418549984,0
10009,LIMA,LIMA,PACHACAMAC,Huatia Pachacamina,FOLCLORE,GASTRONOMIA,Platos Típicos,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=10009,,,0
